Edit Date,Lead ID,Field / Event,Old Value,New Value
2026-09-08T13:26:16.000Z,00QP500000ue2sUMAQ,Status,New,Not reached
2026-09-08T13:24:35.000Z,00QP500000uegI1MAI,Status,New,Follow-up
2026-09-08T13:24:34.000Z,00QP500000ueBJ3MAM,Status,New,Not reached
2026-09-08T13:24:20.000Z,00QP500000tkTkEMAU,Status,Follow-up,Mailjourney
2026-09-08T13:24:19.000Z,00QP500000uQG48MAG,Status,Not reached,Not Qualified
2026-09-08T13:23:15.000Z,00QP500000tilwSMAQ,Status,Follow-up,Mailjourney
2026-09-08T13:22:43.000Z,00QP500000thgQxMAI,Status,Follow-up,Mailjourney
2026-09-08T13:22:12.000Z,00QP500000ueP4NMAU,Status,New,Mailjourney
2026-09-08T13:21:56.000Z,00QP500000uVv8HMAS,Status,Not reached,Follow-up
2026-09-08T13:21:09.000Z,00QP500000th5mRMAQ,Status,Follow-up,Mailjourney
2026-09-08T13:20:32.000Z,00QP500000uYILfMAO,Status,Not reached,Follow-up
2026-09-08T13:20:23.000Z,00QP500000tePCwMAM,Status,Follow-up,Lost
2026-09-08T13:19:33.000Z,00QP500000ueehdMAA,Status,New,Not reached
2026-09-08T13:17:25.000Z,00QQD00000AQYwt2AH,Status,Not reached,Follow-up
2026-09-08T13:16:48.000Z,00QP500000ueG7SMAU,Status,New,Not reached
2026-09-08T13:16:13.000Z,00QP500000uVdfyMAC,Status,Not reached,Follow-up
2026-09-08T13:15:01.000Z,00QP500000tGIcQMAW,Status,Follow-up,Not Qualified
2026-09-08T13:14:42.000Z,00QP500000udgqMMAQ,Status,New,Follow-up
2026-09-08T13:14:40.000Z,00QP500000uU97GMAS,Status,Not reached,Follow-up
2026-09-08T13:13:28.000Z,00QQD00000YXneH2AT,Status,Not reached,Follow-up
2026-09-08T13:06:32.000Z,00QP500000udwiDMAQ,Status,New,Not reached
2026-09-08T13:00:57.000Z,00QQD00000AQamv2AD,Status,Not reached,Lost
2026-09-08T12:59:10.000Z,00QQD00000a0eOv2AI,Status,Not reached,Mailjourney
2026-09-08T12:58:37.000Z,00QQD00000a0eOv2AI,Status,Re-entered,Not reached
2026-09-08T12:57:13.000Z,00QP500000udhBNMAY,Status,New,Not reached
2026-09-08T12:56:46.000Z,00QP500000udzmYMAQ,Status,New,Mailjourney
2026-09-08T12:55:51.000Z,00QP500000uIuY9MAK,Status,Follow-up,Mailjourney
2026-09-08T12:53:39.000Z,00QP500000ubH6TMAU,Status,Not reached,Follow-up
2026-09-08T12:53:00.000Z,00QP500000tQJPBMA4,Status,Mailjourney,Appointment
2026-09-08T12:52:17.000Z,00QQD00000AQe862AD,Status,Follow-up,Appointment
2026-09-08T12:45:45.000Z,00QP500000udsgEMAQ,Status,New,Appointment
2026-09-08T12:45:26.000Z,00QP500000uPy5ZMAS,Status,Follow-up,Appointment
2026-09-08T12:43:58.000Z,00QQD00000D6iV72AJ,Status,Not reached,Re-entered
2026-09-08T12:43:33.000Z,00QP500000uHhY9MAK,Status,Follow-up,Appointment
2026-09-08T12:40:33.000Z,00QP500000ucQndMAE,Status,Not reached,Mailjourney
2026-09-08T12:39:56.000Z,00QP500000tRUX6MAO,Status,Follow-up,Mailjourney
2026-09-08T12:37:35.000Z,00QP500000uFJjdMAG,Status,Follow-up,Mailjourney
